State,Description,Plate Image,Source
CA,California - Amateur Radio Call Letters - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/AmRadioblock.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Amateur Radio Call Letters - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/AmRadioblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Amateur Radio Call Letters - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/AmRadioscript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Amateur Radio Call Letters - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/AmRadiosun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Apportioned Power Unit - Blue + Red,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/apporpwrunitbluredltrs.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Apportioned Power Unit - Single,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/apporpwrunitsingleplt.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Apportioned Power Unit - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/APPORTIONED.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - ARTS,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/artsT_150.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Bicentennial Bill of Rights,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/billofrights.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Apportioned Power Unit - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/blue-block.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
